,Unnamed: 0,Unnamed: 0.1,name,SEXO_M,SEXO_F
0,0.0,0.0,w,0.0,1.0
1,1.0,1.0,AARON,26.0,0.0
2,2.0,2.0,ABADIA,0.0,681.0
3,3.0,3.0,ABADIANA,0.0,1.0
4,4.0,4.0,ABADIAS,4.0,0.0
5,5.0,5.0,ABADIO,112.0,0.0
6,6.0,6.0,ABAPORANG,1.0,0.0
7,7.0,7.0,ABATAR,1.0,0.0
8,8.0,8.0,ABDALLA,4.0,1.0
9,9.0,9.0,ABDELMAJID,2.0,0.0
10,10.0,10.0,ABDENEGO,18.0,0.0
11,11.0,11.0,ABDIAS,798.0,10.0
12,12.0,12.0,ABDIEL,55.0,0.0
13,13.0,13.0,ABDON,127.0,0.0
14,14.0,14.0,ABDORAL,77.0,0.0
15,15.0,15.0,ABDULNOUR,1.0,0.0
16,16.0,16.0,ABEDE,0.0,1.0
17,17.0,17.0,ABEDENES,1.0,0.0
18,18.0,18.0,ABEDIAS,55.0,0.0
19,19.0,19.0,ABEDIEL,5.0,0.0
20,20.0,20.0,ABEGAIL,0.0,38.0
21,21.0,21.0,ABELANDIA,0.0,1.0
22,22.0,22.0,ABELARDO,402.0,0.0
23,23.0,23.0,ABELINA,0.0,198.0
24,24.0,24.0,ABELITA,0.0,43.0
25,25.0,25.0,ABENAZILDO,1.0,0.0
26,26.0,26.0,ABENICE,0.0,5.0
27,27.0,27.0,ABENILDA,0.0,23.0
28,28.0,28.0,ABENILSON,19.0,0.0
29,29.0,29.0,ABENISIA,0.0,10.0
30,30.0,30.0,ABERCIO,11.0,0.0
31,31.0,31.0,ABERTINA,0.0,1.0
32,32.0,32.0,ABGAIL,1.0,84.0
33,33.0,33.0,ABGAIR,3.0,0.0
34,34.0,34.0,ABIAGINO,2.0,0.0
35,35.0,35.0,ABIANA,0.0,1.0
36,36.0,36.0,ABIASLEIA,0.0,1.0
37,37.0,37.0,ABIDA,0.0,2.0
38,38.0,38.0,ABIDENIO,1.0,0.0
39,39.0,39.0,ABIDIAS,204.0,0.0
40,40.0,40.0,ABIDINEIDE,0.0,1.0
41,41.0,41.0,ABIDON,3.0,0.0
42,42.0,42.0,ABIGAIL,0.0,670.0
43,43.0,43.0,ABIGAIR,49.0,22.0
44,44.0,44.0,ABILDE,0.0,13.0
45,45.0,45.0,ABILIA,0.0,48.0
46,46.0,46.0,ABILIO,988.0,0.0
47,47.0,47.0,ABIMAEL,451.0,0.0
48,48.0,48.0,ABINADA,0.0,1.0
49,49.0,49.0,ABINAEL,61.0,15.0
50,50.0,50.0,ABINALDO,1.0,0.0
51,51.0,51.0,ABINER,33.0,0.0
52,52.0,52.0,ABIRACI,3.0,0.0
53,53.0,53.0,ABISOMAR,1.0,0.0
54,54.0,54.0,ABIZAI,1.0,0.0
55,55.0,55.0,ABMAEL,73.0,0.0
56,56.0,56.0,ABNADAB,2.0,0.0
57,57.0,57.0,ABNER,426.0,0.0
58,58.0,58.0,ABRAAM,1.0,0.0
59,59.0,59.0,ABRAAO,999.0,0.0
60,60.0,60.0,ABRAHAO,156.0,0.0
61,61.0,61.0,ABRAO,410.0,0.0
62,62.0,62.0,ABRELINO,17.0,0.0
63,63.0,63.0,ABRILINA,0.0,1.0
64,64.0,64.0,ABRONIAS,1.0,0.0
65,65.0,65.0,ABSAIR,2.0,0.0
66,66.0,66.0,ABSALAO,60.0,0.0
67,67.0,67.0,ABVALHO,1.0,0.0
68,68.0,68.0,ACACIA,0.0,178.0
69,69.0,69.0,ACACILDO,2.0,0.0
70,70.0,70.0,ACACIO,729.0,0.0
71,71.0,71.0,ACANAUE,0.0,1.0
72,72.0,72.0,ACASSIO,108.0,0.0
73,73.0,73.0,ACEDI,1.0,0.0
74,74.0,74.0,ACELCO,3.0,0.0
75,75.0,75.0,ACELIA,0.0,48.0
76,76.0,76.0,ACELINO,202.0,0.0
77,77.0,77.0,ACELIO,22.0,0.0
78,78.0,78.0,ACELMA,0.0,1.0
79,79.0,79.0,ACENIRA,0.0,9.0
80,80.0,80.0,ACETIL,1.0,0.0
81,81.0,81.0,ACIDES,1.0,0.0
82,82.0,82.0,ACIDEZIO,1.0,0.0
83,83.0,83.0,ACIDIO,24.0,0.0
84,84.0,84.0,ACILEIDE,0.0,22.0
85,85.0,85.0,ACILENE,0.0,15.0
86,86.0,86.0,ACILIA,0.0,1.0
87,87.0,87.0,ACILIO,17.0,0.0
