,cep,A,B,C,D,E
0,57300380,0,0,0,0,10
1,79820019,0,0,0,0,4
2,15741289,0,0,0,0,5
3,54590000,0,0,0,0,184
4,12287360,0,0,0,0,6
5,99043249,0,0,0,0,4
6,65500000,0,0,0,11,392
7,68980000,0,0,0,0,128
8,13982716,0,0,0,0,4
9,78311863,0,0,0,0,4
10,24710190,0,0,0,0,5
11,79075109,0,0,0,0,6
12,13970669,0,0,0,0,4
13,18115414,0,0,0,0,5
14,3682080,0,0,0,0,4
15,64660000,0,0,0,0,178
16,64750000,0,0,0,0,142
17,45073909,0,0,0,0,4
18,63575000,0,0,0,0,293
19,15130000,0,0,0,0,262
20,55630000,0,0,0,0,169
21,8850270,0,0,0,0,5
22,78470000,0,0,0,0,58
23,79470000,0,0,0,0,15
24,57045040,0,0,0,0,5
25,63750000,0,0,0,0,453
26,4447021,0,0,0,4,453
27,5778120,0,0,0,0,9
28,46470000,0,0,0,0,289
29,38740000,0,0,0,0,288
30,37120000,0,0,0,0,92
31,13321261,0,0,0,0,5
32,65520000,0,0,0,0,183
33,45550000,0,0,0,0,190
34,57700000,0,0,0,0,217
35,26255570,0,0,0,0,5
36,17593682,0,0,0,0,4
37,65990000,0,0,0,0,217
38,69027034,0,0,0,0,8
39,53230140,0,0,0,0,5
40,76245000,0,0,0,0,66
41,53630569,0,0,0,0,4
42,13710989,0,0,0,0,4
43,35709000,0,0,0,0,32
44,8460240,0,0,0,0,5
45,36878000,0,0,0,0,76
46,12470347,0,0,0,0,4
47,3445030,0,0,0,0,6
48,0,0,0,0,0,6243
49,29142626,0,0,0,0,5
50,45290000,0,0,0,0,116
51,89900000,0,0,0,68,116
52,23810250,0,0,0,4,116
53,75250000,0,0,0,56,116
54,89172000,0,0,0,0,45
55,11065200,0,0,0,0,12
56,52010100,0,0,0,73,88
57,45545000,0,0,0,0,100
58,55280000,0,0,0,0,167
59,78575000,0,0,0,0,368
60,6550000,0,0,0,0,50
61,95659408,0,0,0,0,4
62,45445000,0,0,0,0,97
63,36470000,0,0,0,0,82
64,7500000,0,0,0,0,234
65,62800000,0,0,0,0,863
66,7251060,0,0,0,0,8
67,55460000,0,0,0,0,219
68,56380000,0,0,0,0,176
69,86300000,0,0,0,0,28
70,58870000,0,0,0,0,227
71,15600000,0,0,0,0,237
72,11655050,0,0,0,0,5
73,4445050,0,0,0,0,6
74,35790000,0,0,0,50,6
75,37010170,0,0,0,0,4
76,79841250,0,0,0,0,4
77,72220073,0,0,0,0,8
78,24120010,0,0,0,0,4
79,78175000,0,0,0,0,121
80,11712520,0,0,0,0,4
81,83820000,0,0,0,0,33
82,14158041,0,0,0,0,4
83,63190000,0,0,0,0,183
84,19914330,0,0,0,0,5
85,11630000,0,0,0,64,5
86,21703463,0,0,0,5,5
87,47650000,0,0,0,0,189
88,13501692,0,0,0,0,4
89,68725000,0,0,0,0,201
90,40230117,0,0,0,0,4
91,14801050,0,0,0,0,11
92,13419150,0,0,0,4,11
93,76380000,0,0,0,45,11
94,65943000,0,0,0,0,112
95,13140000,0,0,0,0,48
96,25080010,0,0,0,0,4
97,44594175,0,0,0,0,4
98,45658290,0,0,0,0,7
99,62900000,0,0,0,0,782
100,14936457,0,0,0,0,4
101,73436282,0,0,0,0,4
102,13424090,0,0,0,0,6
103,58085000,0,0,0,0,14
104,15678013,0,0,0,0,5
105,56230000,0,0,0,0,271
106,86390000,0,0,0,0,26
107,47960000,0,0,0,0,74
108,76070069,0,0,0,0,4
109,59670000,0,0,0,0,206
110,46835000,0,0,0,6,165
111,55200000,0,0,0,0,495
112,55645766,0,0,0,0,4
113,36760000,0,0,0,0,37
114,62550000,0,0,0,0,162
115,80161019,0,0,0,0,4
116,80010912,0,0,0,0,5
117,76100000,0,0,44,0,5
118,15625000,0,0,0,0,53
119,6653500,0,0,0,0,6
120,69140000,0,0,0,0,168
121,4177360,0,0,0,0,5
122,76305000,0,0,0,0,91
123,13225000,0,0,0,6,91
124,14684200,0,0,0,4,91
125,17031450,0,0,0,0,4
126,8280300,0,0,0,0,6
127,64295000,0,0,0,0,16
128,36530000,0,0,0,0,91
129,5863150,0,0,0,0,4
